level,latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s],u_norm,v_norm,w_norm,mag,mag_norm
1,32.78619,-97.05844,167.84189,-5.81227,0.19146,0.01069,0.40505337315000556,0.10249604591709856,0.33897513954385816,5.815432379505414,0.1433784864483652
1,32.78605,-97.0265,152.59189,-5.43727,1.25396,0.01872,0.41444961335097985,0.1289187697082434,0.3397970996987511,5.580024298594048,0.1372792840906643
1,32.78591,-96.99457,149.02939,-4.93727,2.25396,0.00532,0.4269779336189456,0.1537872156293209,0.3384254600878464,5.42743024247203,0.13332571536325524
1,32.78576,-96.96264,148.02939,-5.37477,3.19146,0.01873,0.41601565338447555,0.17710138368033107,0.33979812331040105,6.250913557025085,0.15466139489560068
1,32.7856,-96.9307,143.43564,-6.68727,4.19146,0.0241,0.3831288126810655,0.20196982960140855,0.34034780276641285,7.892306240542115,0.19718833826331544
1,32.78543,-96.89877,141.43564,-7.68727,4.31646,-0.01345,0.3580721721451341,0.20507838534154324,0.3365041410209298,8.81624227701349,0.2211266535080363
1,32.81384,-97.63333,314.24814,7.37523,3.69146,-0.1216,0.7354878202176018,0.1895356066408698,0.32543378102694864,8.248374448611072,0.20641373123091794
1,32.81388,-97.60138,288.96689,6.43773,3.62896,-0.09448,0.711997219715166,0.18798132877080245,0.32820981582155584,7.39071340973928,0.1841925389500778
1,32.8139,-97.56943,252.43564,2.68773,1.94146,-0.02964,0.6180348177054231,0.14601582627898418,0.3348469137596949,3.3157258653423085,0.07861343757782831
1,32.81392,-97.53749,227.12314,-1.31227,0.62896,0.01607,0.5178082555616972,0.11337599100756997,0.33952584261151997,1.4553011645016987,0.03041158028489889
1,32.81392,-97.50554,213.02939,-1.12477,0.50396,-0.00809,0.5225063756621843,0.11026743526743528,0.33705279686529166,1.2325374974417613,0.0246399828185671
1,32.81392,-97.47359,202.46689,3.12523,1.31646,-0.00807,0.6289970979398931,0.13047304757831074,0.33705484408859154,3.3911936850318654,0.08056873793115134
1,32.81391,-97.44165,222.43564,4.62523,2.37896,0.05356,0.6665820587437903,0.1568957713694556,0.34336336268710344,5.201449020042396,0.12747075405817623
1,32.81389,-97.4097,238.87314,1.43773,3.87896,0.03221,0.5867140170355087,0.19419844025107183,0.3411779518145052,4.136959719238272,0.09989083569651039
1,32.81386,-97.37775,214.81064,-0.81227,4.81646,0.0268,0.5303365758296629,0.217512608302082,0.3406241779118937,4.884545805343625,0.11926008929777031
1,32.81382,-97.3458,209.62314,-0.62477,4.56646,0.03216,0.5350346959301501,0.21129549682181262,0.34117283375625557,4.609113662093831,0.11212390106246385
1,32.81377,-97.31386,198.62314,-1.81227,3.69146,0.02679,0.5052799352937315,0.1895356066408698,0.34062315430024376,4.112410143528975,0.09925477923886025
1,32.81371,-97.28191,192.46689,-4.37477,2.56646,0.03753,0.44107229392040703,0.16155860497965763,0.3417225132122674,5.072153190253623,0.12412082050094418
1,32.81364,-97.24996,181.46689,-4.87477,1.62896,0.01872,0.4285439736524413,0.13824443692864746,0.3397970996987511,5.139770780190494,0.12587272877175792
1,32.81356,-97.21802,181.77939,-2.99977,0.62896,0.00264,0.4755251746573128,0.11337599100756997,0.3381511321656654,3.06499880980401,0.07211733497014268
